"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/06/2026","202,05","205,00","209,00","202,05","16,45K","-2,86%"
"26/05/2026","208,00","209,70","210,00","204,10","59,63K","-0,93%"
"25/05/2026","209,95","207,00","209,95","204,00","29,28K","4,97%"
"22/05/2026","200,00","203,95","205,00","200,00","15,90K","0,00%"
"21/05/2026","200,00","204,00","204,00","200,00","6,58K","1,52%"
"20/05/2026","197,00","205,75","205,75","197,00","22,87K","-1,50%"
"19/05/2026","200,00","204,95","206,00","200,00","6,38K","-1,14%"
"18/05/2026","202,30","206,00","207,00","201,00","4,99K","1,15%"
"15/05/2026","200,00","205,95","206,50","200,00","16,79K","-1,04%"
"14/05/2026","202,10","210,30","210,30","202,10","26,15K","-0,49%"
"13/05/2026","203,10","204,00","207,80","203,00","3,67K","0,05%"
"12/05/2026","203,00","205,00","205,00","203,00","13,06K","-0,98%"
"11/05/2026","205,00","210,95","212,00","204,90","25,02K","-1,87%"
"08/05/2026","208,90","204,20","209,00","204,00","2,79K","2,35%"
"07/05/2026","204,10","210,00","210,00","204,10","3,85K","-2,81%"
"06/05/2026","210,00","211,70","211,70","206,05","11,50K","2,26%"
"05/05/2026","205,35","214,00","214,00","205,05","6,66K","0,17%"
"04/05/2026","205,00","204,30","214,00","204,30","17,06K","0,05%"
"30/04/2026","204,90","205,00","208,50","204,90","9,04K","-1,01%"
"29/04/2026","207,00","209,30","210,00","205,00","4,92K","1,97%"
"28/04/2026","203,00","210,00","212,00","203,00","23,12K","-2,36%"
"27/04/2026","207,90","212,00","212,00","207,90","1,95K","-1,09%"
"24/04/2026","210,20","210,10","216,00","210,00","44,22K","-1,78%"
"23/04/2026","214,00","216,00","216,00","214,00","1,54K","-1,11%"
"22/04/2026","216,40","212,50","216,50","212,50","7,07K","1,31%"
"21/04/2026","213,60","210,20","216,90","210,20","10,22K","-1,57%"
"20/04/2026","217,00","210,00","217,00","207,00","129,32K","1,45%"
"17/04/2026","213,90","205,95","213,90","204,10","106,27K","4,80%"
"16/04/2026","204,10","206,00","206,00","204,00","2,82K","0,05%"
"15/04/2026","204,00","203,10","206,85","203,10","202,70K","0,49%"
"14/04/2026","203,00","207,00","207,00","203,00","148,41K","-0,49%"
"13/04/2026","204,00","205,50","205,50","202,00","63,01K","-1,45%"
"10/04/2026","207,00","208,00","208,00","205,50","91,90K","0,00%"
"09/04/2026","207,00","205,45","207,00","203,00","119,46K","1,69%"
"08/04/2026","203,55","207,00","208,80","203,55","19,78K","1,78%"
"07/04/2026","200,00","203,00","203,00","200,00","16,83K","-1,48%"
"06/04/2026","203,00","207,20","207,20","203,00","1,91K","0,00%"
"03/04/2026","203,00","204,50","204,50","203,00","144,49K","0,00%"
"02/04/2026","203,00","202,90","204,00","201,00","23,14K","1,50%"
"01/04/2026","200,00","209,00","209,00","200,00","61,49K","0,00%"
"31/03/2026","200,00","208,00","210,00","200,00","14,13K","-2,44%"
"30/03/2026","205,00","214,00","214,00","205,00","1,85K","0,00%"
"27/03/2026","205,00","210,00","213,90","205,00","78,21K","-1,44%"
"26/03/2026","208,00","217,00","217,00","208,00","23,30K","-4,54%"
"25/03/2026","217,90","218,00","218,00","211,50","6,40K","-0,05%"
"24/03/2026","218,00","221,90","221,90","215,00","241,38K","-0,68%"
"19/03/2026","219,50","211,00","219,50","206,00","220,93K","0,23%"
"18/03/2026","219,00","213,00","219,00","206,70","122,39K","3,30%"
"17/03/2026","212,00","206,00","212,00","206,00","144,49K","0,95%"
"16/03/2026","210,00","209,00","210,00","204,00","72,95K","2,94%"
"13/03/2026","204,00","200,10","204,00","200,10","125,13K","-0,20%"
"12/03/2026","204,40","201,90","204,45","200,00","35,32K","1,19%"
"11/03/2026","202,00","203,00","203,00","200,50","39,82K","2,54%"
"10/03/2026","197,00","204,50","204,50","197,00","65,78K","1,03%"
"09/03/2026","195,00","192,00","198,00","192,00","58,05K","-2,50%"
