"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/04/2026","95,50","95,50","95,50","95,00","103,21K","0,00%"
"29/04/2026","95,50","95,50","95,50","95,10","106,83K","0,16%"
"28/04/2026","95,35","95,75","96,00","95,00","72,08K","-0,68%"
"27/04/2026","96,00","96,00","96,50","95,55","28,89K","0,52%"
"24/04/2026","95,50","96,00","96,00","95,25","349,79K","-0,21%"
"23/04/2026","95,70","95,60","95,99","95,25","80,23K","0,20%"
"22/04/2026","95,51","96,05","96,80","95,20","132,65K","-0,62%"
"21/04/2026","96,11","96,74","96,74","95,22","197,73K","-0,02%"
"20/04/2026","96,13","97,87","97,87","96,00","175,55K","-2,90%"
"17/04/2026","99,00","96,80","101,00","96,25","235,97K","2,38%"
"16/04/2026","96,70","96,18","97,00","96,18","57,25K","-0,15%"
"15/04/2026","96,85","95,99","97,29","95,99","253,85K","1,52%"
"14/04/2026","95,40","96,00","96,00","95,10","125,36K","-0,62%"
"13/04/2026","96,00","95,99","96,00","94,51","95,32K","0,00%"
"10/04/2026","96,00","96,00","96,00","95,30","188,59K","0,63%"
"09/04/2026","95,40","96,99","96,99","95,03","62,17K","-1,64%"
"08/04/2026","96,99","94,25","97,00","94,25","361,10K","4,85%"
"07/04/2026","92,50","93,00","93,40","92,50","16,75K","-0,54%"
"06/04/2026","93,00","93,00","93,85","92,90","13,80K","0,98%"
"03/04/2026","92,10","95,40","95,40","92,10","233,06K","-3,05%"
"02/04/2026","95,00","95,02","95,50","92,10","158,70K","-0,52%"
"01/04/2026","95,50","95,50","95,80","95,00","178,35K","1,73%"
"31/03/2026","93,88","95,00","95,49","93,88","73,01K","-1,39%"
"30/03/2026","95,20","95,85","95,85","94,50","28,57K","0,21%"
"27/03/2026","95,00","96,00","96,40","95,00","216,45K","0,43%"
"26/03/2026","94,59","95,60","96,20","94,59","184,75K","-0,42%"
"25/03/2026","94,99","93,99","95,00","93,85","1,87M","1,27%"
"24/03/2026","93,80","95,00","95,00","92,85","200,79K","-0,53%"
"19/03/2026","94,30","95,00","95,00","94,00","62,31K","-1,67%"
"18/03/2026","95,90","93,10","95,99","93,10","161,41K","3,13%"
"17/03/2026","92,99","92,68","93,00","92,50","109,67K","0,96%"
"16/03/2026","92,11","93,00","93,39","92,11","32,26K","-0,69%"
"13/03/2026","92,75","93,50","93,50","92,50","196,20K","-0,05%"
"12/03/2026","92,80","93,94","93,94","92,70","164,88K","-0,26%"
"11/03/2026","93,04","92,99","93,49","92,63","222,83K","0,46%"
"10/03/2026","92,61","92,99","94,00","92,50","552,43K","2,90%"
"09/03/2026","90,00","92,00","92,00","90,00","164,31K","-2,71%"
"06/03/2026","92,51","94,00","94,97","92,50","429,46K","-1,06%"
"05/03/2026","93,50","93,00","94,87","92,50","614,75K","1,63%"
"04/03/2026","92,00","92,00","95,00","91,61","824,40K","0,00%"
"03/03/2026","92,00","95,00","95,00","92,00","407,62K","-3,16%"
"02/03/2026","95,00","97,50","99,00","95,00","1,39M","-4,04%"
"27/02/2026","99,00","102,10","102,45","99,00","452,00K","-2,99%"
"26/02/2026","102,05","103,80","103,80","102,00","78,21K","-0,87%"
"25/02/2026","102,95","103,95","103,95","102,95","59,90K","-0,15%"
"24/02/2026","103,10","103,55","103,80","103,10","70,81K","-0,39%"
"23/02/2026","103,50","103,65","104,00","103,05","239,43K","-0,05%"
"20/02/2026","103,55","104,50","104,50","103,55","225,09K","-0,43%"
"19/02/2026","104,00","104,95","104,95","103,85","111,55K","-0,19%"
"18/02/2026","104,20","106,00","106,50","104,20","66,81K","-1,61%"
"17/02/2026","105,90","106,00","106,00","105,55","110,40K","-0,66%"
"16/02/2026","106,60","106,00","107,00","105,50","95,96K","1,09%"
"13/02/2026","105,45","107,00","107,00","105,45","222,50K","-0,47%"
"12/02/2026","105,95","105,20","106,00","105,00","259,34K","0,43%"
"11/02/2026","105,50","105,50","105,50","105,00","49,88K","0,00%"
"10/02/2026","105,50","106,00","106,90","105,10","23,44K","0,38%"
"09/02/2026","105,10","106,00","107,00","105,00","18,84K","-1,64%"
"06/02/2026","106,85","105,95","106,85","103,70","386,84K","1,81%"
"05/02/2026","104,95","107,30","107,30","104,95","62,69K","-0,76%"
"04/02/2026","105,75","106,45","106,45","105,75","30,44K","0,19%"
"03/02/2026","105,55","107,00","107,90","105,55","29,40K","0,09%"
"02/02/2026","105,45","106,55","108,85","105,10","87,13K","-1,45%"
"30/01/2026","107,00","108,75","109,00","107,00","76,75K","-1,74%"
"29/01/2026","108,90","108,00","109,00","107,10","129,15K","0,83%"
"28/01/2026","108,00","107,00","109,00","107,00","49,19K","1,22%"
"27/01/2026","106,70","106,95","109,90","106,70","76,48K","-0,14%"
"26/01/2026","106,85","109,95","109,95","106,00","51,20K","-1,06%"
"23/01/2026","108,00","110,00","110,45","107,85","118,93K","-0,92%"
"22/01/2026","109,00","109,40","110,50","109,00","39,78K","1,11%"
"21/01/2026","107,80","109,70","110,40","107,80","70,77K","-1,06%"
"20/01/2026","108,95","111,00","111,00","108,70","32,55K","-0,14%"
"19/01/2026","109,10","112,00","112,00","109,10","72,68K","-1,76%"
"16/01/2026","111,05","112,50","112,50","111,00","225,09K","-1,02%"
"15/01/2026","112,20","113,00","113,00","112,20","133,46K","-0,36%"
"13/01/2026","112,60","113,95","113,95","112,50","70,71K","-1,23%"
"12/01/2026","114,00","111,75","114,00","111,05","56,60K","2,06%"
"09/01/2026","111,70","112,80","112,80","111,70","350,92K","-0,98%"
"08/01/2026","112,80","113,00","113,00","112,15","208,89K","-0,53%"
"07/01/2026","113,40","113,95","113,95","113,40","86,00K","-0,53%"
"06/01/2026","114,00","114,35","114,35","113,60","275,52K","-0,35%"
"05/01/2026","114,40","111,10","114,40","111,00","151,15K","2,97%"
"02/01/2026","111,10","109,00","111,10","108,80","327,60K","1,93%"
"31/12/2025","109,00","108,50","110,30","108,50","267,01K","0,46%"
"30/12/2025","108,50","108,70","109,00","107,80","961,69K","0,56%"
"29/12/2025","107,90","108,40","108,60","107,75","63,71K","-0,09%"
"26/12/2025","108,00","109,00","110,50","108,00","358,07K","-0,92%"
"25/12/2025","109,00","110,95","110,95","109,00","571,61K","-0,91%"
"24/12/2025","110,00","111,95","112,00","110,00","87,89K","-1,39%"
"23/12/2025","111,55","111,90","112,00","111,55","73,67K","-0,31%"
"22/12/2025","111,90","112,60","112,60","111,80","26,30K","-0,27%"
"19/12/2025","112,20","111,80","113,00","111,80","2,21M","0,18%"
"18/12/2025","112,00","112,80","113,00","111,65","174,29K","-0,75%"
"17/12/2025","112,85","111,95","112,90","111,60","120,17K","1,17%"
"16/12/2025","111,55","111,70","111,90","111,05","58,34K","-0,27%"
"15/12/2025","111,85","112,00","112,85","111,80","32,80K","0,04%"
"12/12/2025","111,80","111,80","112,00","111,60","97,22K","0,00%"
"11/12/2025","111,80","112,00","112,00","110,50","2,00M","-0,18%"
"10/12/2025","112,00","112,00","112,40","112,00","16,38K","0,00%"
"09/12/2025","112,00","111,85","112,20","111,85","42,66K","0,13%"
"08/12/2025","111,85","112,40","112,40","111,85","19,65K","-0,13%"
"05/12/2025","112,00","112,50","112,90","112,00","87,13K","-0,44%"
"04/12/2025","112,50","112,55","112,95","112,45","61,46K","-0,04%"
"03/12/2025","112,55","112,85","113,00","112,50","369,85K","0,09%"
"02/12/2025","112,45","113,15","114,00","112,45","25,53K","-1,27%"
"01/12/2025","113,90","114,90","115,40","113,90","43,20K","-0,96%"
"28/11/2025","115,00","116,85","116,85","114,75","33,50K","-1,88%"
"27/11/2025","117,20","114,00","117,20","114,00","79,71K","2,67%"
"26/11/2025","114,15","114,00","114,50","113,70","202,08K","0,31%"
"25/11/2025","113,80","112,70","113,80","112,30","43,10K","0,98%"
"24/11/2025","112,70","112,00","113,20","111,75","57,89K","0,62%"
"21/11/2025","112,00","111,90","112,50","111,05","306,19K","0,63%"
"20/11/2025","111,30","111,90","112,00","111,00","127,52K","0,27%"
"19/11/2025","111,00","112,95","112,95","111,00","86,35K","-1,73%"
"17/11/2025","112,95","113,30","113,30","112,95","29,01K","0,04%"
"14/11/2025","112,90","112,90","113,50","112,90","213,97K","0,00%"
"13/11/2025","112,90","113,40","113,40","112,75","104,08K","-0,09%"
"12/11/2025","113,00","113,10","114,00","113,00","73,42K","0,00%"
"11/11/2025","113,00","115,00","115,00","113,00","193,15K","-1,74%"
"10/11/2025","115,00","116,80","116,80","114,80","87,67K","-0,82%"
"07/11/2025","115,95","118,00","118,00","115,95","132,44K","-1,40%"
"05/11/2025","117,60","118,40","118,40","117,60","23,07K","-0,34%"
"04/11/2025","118,00","119,10","119,50","118,00","59,41K","-1,26%"
"03/11/2025","119,50","120,00","121,20","119,50","181,60K","-0,42%"
"31/10/2025","120,00","119,00","120,50","118,95","210,94K","0,93%"
"30/10/2025","118,90","119,60","120,00","118,70","176,44K","-0,92%"
"29/10/2025","120,00","117,90","120,00","117,25","113,80K","2,13%"
"28/10/2025","117,50","118,70","118,70","117,50","170,48K","-0,97%"
"27/10/2025","118,65","119,75","119,75","118,60","19,85K","-0,63%"
"24/10/2025","119,40","119,10","119,50","118,50","242,88K","0,67%"
"23/10/2025","118,60","120,00","120,50","117,15","177,23K","-1,98%"
"22/10/2025","121,00","121,00","121,45","120,00","216,63K","-0,08%"
"21/10/2025","121,10","117,00","121,10","116,75","278,74K","3,50%"
"20/10/2025","117,00","116,05","118,00","116,05","59,89K","1,21%"
"17/10/2025","115,60","115,00","115,80","115,00","121,34K","0,52%"
"16/10/2025","115,00","112,80","115,00","112,70","193,01K","1,81%"
"15/10/2025","112,95","113,05","113,35","111,90","148,27K","-0,04%"
"14/10/2025","113,00","114,90","114,90","113,00","186,71K","-1,31%"
"13/10/2025","114,50","114,90","115,00","114,50","46,32K","0,00%"
"10/10/2025","114,50","116,35","116,35","114,50","133,50K","-1,25%"
"09/10/2025","115,95","116,00","116,40","115,95","35,44K","-0,04%"
"08/10/2025","116,00","117,50","117,50","115,85","119,47K","-0,90%"
"07/10/2025","117,05","118,00","118,50","117,05","68,66K","-0,21%"
"06/10/2025","117,30","116,90","118,50","116,90","66,88K","0,77%"
"03/10/2025","116,40","115,00","117,00","115,00","401,69K","2,02%"
"02/10/2025","114,10","112,40","115,45","111,60","355,40K","0,53%"
"01/10/2025","113,50","116,50","116,50","113,50","341,82K","-3,24%"
"30/09/2025","117,30","116,50","119,00","114,00","141,76K","0,69%"
"29/09/2025","116,50","118,70","118,95","116,50","391,32K","-1,69%"
"26/09/2025","118,50","119,05","119,45","117,55","401,11K","-0,46%"
"25/09/2025","119,05","121,00","121,00","119,05","279,78K","-1,61%"
"24/09/2025","121,00","122,20","122,25","119,05","214,50K","-0,98%"
"23/09/2025","122,20","123,55","124,30","122,20","65,48K","-1,37%"
"22/09/2025","123,90","122,60","125,00","122,60","508,14K","0,73%"
"19/09/2025","123,00","122,85","124,00","122,10","236,62K","0,49%"
"18/09/2025","122,40","122,00","122,70","120,60","161,50K","1,92%"
"17/09/2025","120,10","120,00","121,45","119,80","80,82K","0,08%"
"16/09/2025","120,00","120,50","120,50","119,80","124,37K","-0,08%"
"15/09/2025","120,10","122,00","122,00","120,00","164,83K","-1,88%"
"12/09/2025","122,40","123,00","123,25","122,40","499,29K","-0,49%"
"11/09/2025","123,00","123,00","123,35","122,55","209,91K","0,41%"
"10/09/2025","122,50","122,50","126,00","122,50","58,28K","0,41%"
"09/09/2025","122,00","125,45","125,45","122,00","271,39K","-2,40%"
"08/09/2025","125,00","127,40","127,40","125,00","296,30K","-1,19%"
"04/09/2025","126,50","127,90","127,90","126,50","83,24K","0,00%"
"03/09/2025","126,50","127,00","130,00","124,50","188,84K","-0,32%"
"02/09/2025","126,90","123,65","126,90","123,65","185,33K","2,67%"
"01/09/2025","123,60","124,00","124,50","123,00","51,33K","-0,24%"
"29/08/2025","123,90","124,10","124,80","123,80","264,69K","0,12%"
"28/08/2025","123,75","125,00","125,00","123,75","105,33K","-0,12%"
"27/08/2025","123,90","123,00","123,90","122,90","324,65K","1,14%"
"26/08/2025","122,50","121,60","123,00","121,60","382,97K","0,82%"
"25/08/2025","121,50","120,95","121,60","120,50","122,31K","0,83%"
"22/08/2025","120,50","119,55","120,70","119,55","160,36K","0,84%"
"19/08/2025","119,50","120,00","120,00","119,50","123,78K","-0,42%"
"18/08/2025","120,00","121,00","121,00","119,95","51,62K","0,00%"
"15/08/2025","120,00","121,00","121,00","120,00","82,46K","0,00%"
"13/08/2025","120,00","122,40","122,40","120,00","113,28K","-1,64%"
"12/08/2025","122,00","121,95","122,30","121,60","51,85K","0,04%"
"11/08/2025","121,95","123,50","123,50","121,95","101,03K","-0,85%"
"08/08/2025","123,00","123,00","124,00","122,10","154,44K","-0,12%"
"07/08/2025","123,15","122,50","123,50","122,50","395,12K","0,61%"
"06/08/2025","122,40","122,70","122,85","122,00","91,47K","0,33%"
"05/08/2025","122,00","122,70","122,75","122,00","80,77K","-0,41%"
"04/08/2025","122,50","122,60","122,60","118,40","327,16K","0,00%"
"01/08/2025","122,50","122,00","122,65","122,00","275,57K","0,00%"
"31/07/2025","122,50","122,90","122,90","121,75","306,89K","0,33%"
"29/07/2025","122,10","122,50","122,95","121,80","311,42K","0,33%"
"28/07/2025","121,70","123,35","123,95","121,50","286,37K","-1,06%"
"25/07/2025","123,00","123,50","123,95","121,50","226,85K","0,00%"
"24/07/2025","123,00","118,70","123,00","118,70","989,68K","3,49%"
"23/07/2025","118,85","121,00","121,80","118,65","79,73K","-2,46%"
"22/07/2025","121,85","120,10","121,85","118,55","117,00K","1,54%"
"21/07/2025","120,00","122,00","123,40","120,00","180,65K","-0,83%"
"18/07/2025","121,00","120,00","122,00","118,35","516,82K","2,54%"
"17/07/2025","118,00","116,70","118,00","116,00","241,73K","1,46%"
"16/07/2025","116,30","117,00","117,50","116,30","58,50K","-0,98%"
"15/07/2025","117,45","117,05","117,75","117,00","51,80K","-0,47%"
"14/07/2025","118,00","117,60","118,00","117,15","49,03K","0,00%"
"11/07/2025","118,00","117,15","118,40","117,00","361,14K","0,43%"
"10/07/2025","117,50","117,60","118,00","115,70","86,52K","-0,42%"
"09/07/2025","118,00","118,05","118,40","116,80","36,90K","-0,42%"
"08/07/2025","118,50","119,00","120,00","118,50","78,48K","0,00%"
"07/07/2025","118,50","114,60","123,25","114,00","707,35K","3,04%"
"04/07/2025","115,00","113,65","115,40","113,60","162,27K","0,88%"
"03/07/2025","114,00","114,45","114,50","113,05","104,25K","0,88%"
"02/07/2025","113,00","111,15","114,40","111,15","89,49K","1,35%"
"01/07/2025","111,50","111,00","111,50","110,65","46,48K","0,31%"
"30/06/2025","111,15","111,10","111,50","111,00","113,47K","0,14%"
"26/06/2025","111,00","112,00","113,50","111,00","235,81K","-0,67%"
"25/06/2025","111,75","109,60","113,50","109,00","412,40K","2,52%"
"24/06/2025","109,00","109,00","110,85","108,00","218,24K","2,35%"
"23/06/2025","106,50","107,00","107,80","106,50","51,89K","-1,21%"
"20/06/2025","107,80","104,70","108,00","104,70","184,66K","2,67%"
"19/06/2025","105,00","106,70","106,70","104,55","257,83K","-1,59%"
"18/06/2025","106,70","107,00","107,00","105,00","68,65K","-0,33%"
"17/06/2025","107,05","107,75","108,40","107,00","106,88K","-0,83%"
"16/06/2025","107,95","108,50","108,90","107,00","55,57K","-0,96%"
"13/06/2025","109,00","109,50","109,50","108,05","242,64K","-1,00%"
"12/06/2025","110,10","110,50","110,80","110,10","137,17K","-0,45%"
"11/06/2025","110,60","110,40","110,80","110,40","193,22K","0,55%"
"10/06/2025","110,00","110,50","110,90","110,00","240,90K","-0,45%"
"06/06/2025","110,50","111,50","112,40","110,50","146,95K","-1,34%"
"05/06/2025","112,00","113,60","114,40","112,00","155,12K","-1,75%"
"04/06/2025","114,00","112,90","114,70","112,90","241,38K","1,33%"
"03/06/2025","112,50","110,50","113,40","110,40","384,92K","1,53%"
"02/06/2025","110,80","109,00","111,00","109,00","107,13K","1,79%"
"30/05/2025","108,85","110,00","110,00","107,50","357,40K","-1,05%"
"29/05/2025","110,00","110,75","111,00","108,80","114,67K","-0,63%"
"28/05/2025","110,70","111,00","111,10","110,70","79,68K","-0,05%"
"27/05/2025","110,75","111,15","111,60","110,75","14,12K","0,00%"
"26/05/2025","110,75","111,10","111,65","110,75","157,50K","-0,23%"
"23/05/2025","111,00","112,90","114,00","111,00","239,16K","-1,33%"
"22/05/2025","112,50","111,50","113,45","111,50","146,53K","0,76%"
"21/05/2025","111,65","113,00","113,00","111,50","153,88K","-0,31%"
"20/05/2025","112,00","112,80","113,25","111,70","78,53K","-0,40%"
"19/05/2025","112,45","111,55","112,45","111,00","102,54K","1,31%"
"16/05/2025","111,00","113,35","113,35","111,00","245,12K","-1,73%"
"15/05/2025","112,95","112,50","113,00","112,00","36,25K","0,85%"
"14/05/2025","112,00","113,50","113,55","111,70","195,57K","-1,58%"
"13/05/2025","113,80","114,60","115,00","113,70","100,96K","-0,87%"
"12/05/2025","114,80","113,60","116,00","113,60","144,07K","0,88%"
"09/05/2025","113,80","112,70","113,80","112,70","48,00K","0,71%"
"08/05/2025","113,00","113,00","113,40","112,70","74,24K","0,00%"
"07/05/2025","113,00","113,50","113,95","113,00","59,30K","-0,70%"
"06/05/2025","113,80","113,50","114,00","113,00","22,38K","0,00%"
"05/05/2025","113,80","113,90","114,50","113,80","13,17K","-0,31%"
"02/05/2025","114,15","114,20","114,80","114,00","42,44K","-0,26%"
"30/04/2025","114,45","113,65","114,50","113,50","150,30K","1,01%"
"29/04/2025","113,30","114,00","114,50","113,25","103,22K","-0,87%"
"28/04/2025","114,30","115,00","115,40","114,30","131,79K","-0,61%"
"25/04/2025","115,00","117,00","117,00","114,70","514,89K","-1,71%"
"24/04/2025","117,00","116,55","117,95","116,55","256,48K","0,43%"
"23/04/2025","116,50","116,00","116,70","116,00","267,52K","0,43%"
