"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/05/2026","414,44","412,80","417,11","410,43","31,37M","1,63%"
"30/04/2026","407,78","410,81","414,42","398,01","70,91M","-3,93%"
"29/04/2026","424,46","424,58","426,82","420,29","38,29M","-1,12%"
"28/04/2026","429,25","424,57","429,92","421,90","30,44M","1,04%"
"27/04/2026","424,82","422,38","427,11","417,07","30,87M","0,05%"
"24/04/2026","424,62","416,97","424,95","415,80","27,46M","2,13%"
"23/04/2026","415,75","419,89","423,66","411,41","38,31M","-3,97%"
"22/04/2026","432,92","426,18","433,70","423,67","29,38M","2,07%"
"21/04/2026","424,16","420,24","427,18","417,20","32,05M","1,46%"
"20/04/2026","418,07","421,14","423,33","416,30","27,58M","-1,12%"
"17/04/2026","422,79","424,82","431,58","420,69","48,57M","0,60%"
"16/04/2026","420,26","419,86","420,82","412,14","41,64M","2,20%"
"15/04/2026","411,22","398,00","414,37","396,73","45,06M","4,61%"
"14/04/2026","393,11","387,92","394,69","386,52","37,50M","2,27%"
"13/04/2026","384,37","373,61","384,54","371,02","35,75M","3,64%"
"10/04/2026","370,87","372,98","375,64","370,03","28,11M","-0,59%"
"09/04/2026","373,07","372,50","373,50","367,05","30,44M","-0,34%"
"08/04/2026","374,33","384,98","385,00","371,41","33,06M","0,55%"
"07/04/2026","372,29","370,34","372,45","366,56","21,44M","-0,16%"
"06/04/2026","372,88","373,49","373,73","369,50","16,15M","-0,16%"
"02/04/2026","373,46","367,20","373,64","364,15","24,10M","1,11%"
"01/04/2026","369,37","373,49","373,99","368,20","29,42M","-0,22%"
"31/03/2026","370,17","364,55","372,90","363,07","45,24M","3,12%"
"30/03/2026","358,96","361,89","365,36","356,28","44,80M","0,61%"
"27/03/2026","356,77","361,90","362,45","356,51","37,88M","-2,51%"
"26/03/2026","365,97","370,82","374,72","365,19","36,84M","-1,37%"
"25/03/2026","371,04","376,92","377,06","369,63","31,18M","-0,46%"
"24/03/2026","372,74","382,36","382,47","371,85","42,73M","-2,68%"
"23/03/2026","383,00","383,90","387,21","381,68","29,68M","0,30%"
"20/03/2026","381,87","386,79","387,00","380,12","50,85M","-1,84%"
"19/03/2026","389,02","390,10","392,49","387,06","25,14M","-0,71%"
"18/03/2026","391,79","397,13","398,00","391,00","25,91M","-1,91%"
"17/03/2026","399,41","400,27","404,40","397,74","26,23M","-0,14%"
"16/03/2026","399,95","398,07","400,63","394,79","27,73M","1,11%"
"13/03/2026","395,55","401,00","404,80","394,25","26,85M","-1,57%"
"12/03/2026","401,86","404,63","406,12","401,71","27,26M","-0,75%"
"11/03/2026","404,88","405,57","409,01","401,59","25,51M","-0,22%"
"10/03/2026","405,76","410,03","410,20","402,93","31,71M","-0,89%"
"09/03/2026","409,41","404,92","410,21","403,50","30,13M","0,11%"
"06/03/2026","408,96","409,20","413,05","408,51","31,12M","-0,42%"
"05/03/2026","410,68","404,42","411,61","404,40","39,00M","1,35%"
"04/03/2026","405,20","401,27","411,03","400,31","35,81M","0,31%"
"03/03/2026","403,93","393,14","406,70","392,67","38,20M","1,35%"
"02/03/2026","398,55","392,86","401,19","390,63","35,47M","1,48%"
"27/02/2026","392,74","390,88","396,82","389,88","51,37M","-2,24%"
"26/02/2026","401,72","404,71","407,49","398,74","34,41M","0,28%"
"25/02/2026","400,60","390,52","401,47","390,16","43,63M","2,98%"
"24/02/2026","389,00","384,14","389,36","381,71","33,88M","1,18%"
"23/02/2026","384,47","395,00","395,36","383,10","43,24M","-3,21%"
"20/02/2026","397,23","396,11","400,12","395,16","34,02M","-0,31%"
"19/02/2026","398,46","400,69","404,43","396,67","28,23M","-0,29%"
"18/02/2026","399,60","398,13","402,56","396,32","23,22M","0,69%"
"17/02/2026","396,86","399,22","400,52","394,52","32,08M","-1,11%"
"13/02/2026","401,32","404,45","405,54","398,05","34,09M","-0,13%"
"12/02/2026","401,84","405,00","406,20","398,01","40,80M","-0,63%"
"11/02/2026","404,37","416,17","416,46","401,01","42,49M","-2,15%"
"10/02/2026","413,27","419,62","423,68","412,70","44,86M","-0,08%"
"09/02/2026","413,60","404,85","414,89","400,87","45,48M","3,11%"
"06/02/2026","401,14","399,17","401,79","392,92","53,52M","1,90%"
"05/02/2026","393,67","407,44","408,30","392,32","66,29M","-4,95%"
"04/02/2026","414,19","411,00","419,80","409,24","45,01M","0,72%"
"03/02/2026","411,21","422,01","422,05","408,56","61,42M","-2,87%"
"02/02/2026","423,37","430,23","430,74","422,25","42,22M","-1,61%"
"30/01/2026","430,29","439,17","439,60","426,45","58,57M","-0,74%"
"29/01/2026","433,50","439,99","442,50","421,02","128,86M","-9,99%"
"28/01/2026","481,63","483,21","483,74","478,00","36,88M","0,22%"
"27/01/2026","480,58","473,70","482,87","473,16","29,21M","2,19%"
"26/01/2026","470,28","465,30","474,25","462,00","29,29M","0,93%"
"23/01/2026","465,95","451,87","471,10","450,53","38,00M","3,28%"
"22/01/2026","451,14","447,62","452,84","444,70","25,35M","1,58%"
"21/01/2026","444,11","452,60","452,69","438,68","37,98M","-2,29%"
"20/01/2026","454,52","451,21","456,80","449,28","26,13M","-1,16%"
"16/01/2026","459,86","457,83","463,19","456,48","34,25M","0,70%"
"15/01/2026","456,66","464,12","464,25","455,90","23,23M","-0,59%"
"14/01/2026","459,38","466,46","468,20","457,17","28,18M","-2,40%"
"13/01/2026","470,67","474,67","475,78","465,95","28,55M","-1,36%"
"12/01/2026","477,18","476,67","480,99","475,68","23,52M","-0,44%"
"09/01/2026","479,28","474,06","479,82","472,20","18,49M","0,24%"
"08/01/2026","478,11","481,24","482,66","475,86","18,16M","-1,11%"
"07/01/2026","483,47","479,76","489,70","477,95","25,56M","1,04%"
"06/01/2026","478,51","473,80","478,74","469,75","23,04M","1,20%"
"05/01/2026","472,85","474,05","476,07","469,50","25,25M","-0,02%"
"02/01/2026","472,94","484,39","484,66","470,16","25,57M","-2,21%"
"31/12/2025","483,62","487,84","488,14","483,30","15,60M","-0,79%"
"30/12/2025","487,48","485,93","489,68","485,50","13,94M","0,08%"
"29/12/2025","487,10","484,86","488,35","484,18","10,89M","-0,13%"
"26/12/2025","487,71","486,70","488,12","485,96","8,84M","-0,06%"
"24/12/2025","488,02","485,68","489,16","484,83","5,86M","0,24%"
"23/12/2025","486,85","484,98","487,83","484,74","14,68M","0,40%"
"22/12/2025","484,92","486,12","488,73","482,69","16,96M","-0,21%"
"19/12/2025","485,92","487,36","487,85","482,49","70,84M","0,40%"
"18/12/2025","483,98","478,19","489,60","477,89","28,57M","1,65%"
"17/12/2025","476,12","476,90","480,00","475,00","24,53M","-0,06%"
"16/12/2025","476,39","471,90","477,89","470,88","20,71M","0,33%"
